Br aaa
O=C1[CH]Oc2ccccc2N1 ahj
O=C1[CH]Sc2ccccc2N1 ahk
O=C1[CH]Sc2ncnn21 ahl
O=C1[CH]Sc2sc(=O)sc2S[CH]1 ahm
O=C1[CH][CH]C2(C[CH]OCC2)O1 ahn
O=C1[CH][CH]C=CN1 aho
O=C1[CH][CH]CC[CH]1 ahp
O=C1[CH][CH]CO1 ahq
O=C1[CH][CH]N1 ahr
O=C1[CH][CH]N=CN1 ahs
O=C1[CH][CH]NC1=O aht
O=C1[CH][CH]OC(=O)[CH]1 ahu
O=C1[CH][CH]Oc2ccccc21 ahv
O=C1[CH][CH][CH]O1 ahw
O=C1[CH][CH][CH][CH]C1 ahx
O=C1[CH][CH]c2ccccc2N1 ahy
O=C1[CH]c2cccc3c2N1CCC3 ahz
O=C1[CH]c2ccccc2N1 ahA
O=C1[CH]c2nc3ccccc3c(=O)n2CCC1 ahB
O=C1[CH]n2nccc2-c2ccccc2N1 ahC
O=C1c2cc3c(cc2CC12Cc1ccc4c(c1C2=O)CCC4)CCC3 ahD
O=C1c2ccccc2-c2c3c(cc4ccnc1c24)OCO3 ahE
O=C1c2ccccc2-c2cc(=O)[nH]c3cccc1c23 ahF
O=C1c2ccccc2-c2ccccc21 ahG
O=C1c2ccccc2-c2nc3cc4nc(=O)nc4cc3nc21 ahH
O=C1c2ccccc2-c2nc3ccccc3nc21 ahI
O=C1c2ccccc2-c2nc3ncnn3cc21 ahJ
O=C1c2ccccc2-c2nnc3cccc1c23 ahK
O=C1c2ccccc2-c2occc(=O)c21 ahL
O=C1c2ccccc2-n2c1nc1ccccc1c2=O ahM
O=C1c2ccccc2C2=Nc3ccccc3OC12 ahN
O=C1c2ccccc2C2CCC3(CC12)OCCO3 ahO
O=C1c2ccccc2C2N=C[CH]C12 ahP
O=C1c2ccccc2C2OCCN12 ahQ
O=C1c2ccccc2C2c3ccccc3NC12 ahR
O=C1c2ccccc2CC12Cc1cc3c(cc1C2=O)CCC3 ahS
O=C1c2ccccc2CCc2ccccc21 ahT
O=C1c2ccccc2CSc2ccccc21 ahU
O=C1c2ccsc2NC2CCCN12 ahV
O=C1c2cncnc2CC2c3ccccc3CCN12 ahW
O=C1c2cnnc2CC2c3ccccc3CCN12 ahX
O=C1c2nccnc2-c2cc(=O)nn21 ahY
O=CNCO ahZ
O=CNC[SH](=O)=O aia
O=CN[CH]NC=O aib
O=CN[CH]O aic
O=CN[CH]OC=O aid
O=CN[SH](=O)=O aie
O=CO aif
O=CS aig
O=S1(=O)C=CC=N1 aih
O=S1(=O)C=Cc2ccccc21 aii
O=S1(=O)CCCCN1 aij
O=S1(=O)CCCN1 aik
O=S1(=O)CCN2C(=N1)Sc1ccccc12 ail
O=S1(=O)CCN2C=Nc3nccc3C2=N1 aim
O=S1(=O)CC[CH]c2ccsc21 ain
O=S1(=O)Cc2cnnc2-c2ccccc21 aio
O=S1(=O)N=C2CCCCCN2c2ccccc21 aip
O=S1(=O)N=CC=CN1 aiq
O=S1(=O)N=CNc2ccccc21 air
O=S1(=O)N=Cc2ccccc21 ais
O=S1(=O)N=Cc2ccccc2N1 ait
O=S1(=O)NC=Nc2ccccc21 aiu
